date,id,name,subs,views,videos
2026-08-21,UCSmj0fs41NTFbDZYyEZsoQw,すこるある,20000,,
2026-08-21,UCJgwnMYDdnyskJ7zsSXuVfw,スターボール,25400,12481375,146
2026-08-21,UCVYMXYU6j0M5Gj1xwywKDyg,レイアルファ,3650,2854039,86
2026-08-21,UCmWcMMH94uzxqJpB_vrxRKQ,アオアオカントリー,17000,2207328,18
2026-08-21,UCSdgLDAnBGMBNkJvTztGUbQ,Acgelent,12300,7760845,66
2026-08-21,UCpOhdzl-CTUQ8xHonbVWsZw,うずまき🌀,28800,7846381,182
2026-08-21,UCO94y0dm-m5LjY3OHywSifw,カミヤ kamiya【ポーランドボール】,12100,3439004,79
2026-08-21,UCCQEhe-wXZCSb843x92YDzQ,きままボール,17800,12645380,153
2026-08-21,UCKCAWr6aCfgm9lLWmM7yEKQ,炭火焼き,18800,14067769,59
2026-08-21,UC7TqXiAikWw_Xh4Xbam1Faw,ケエレビQ!,12400,5403267,100
2026-08-21,UCdrDC3QVzRjxHcS7m3EDPxg,ジャスティンピーバー - ポーランドボール,18600,56458814,526
2026-08-21,UCmjY1OXynztjoCn9Lb4w7Ag,SEKKI98,12200,8534197,791
2026-08-21,UCeVN-gQR83mALrvJ-fwd7Ig,"ソビエト・カチューシャボール☭

",14100,4971616,329
2026-08-21,UCaZ6KZVlP5hts3SH54o-3rg,ちまちもヒエナ ,12300,5420278,80
2026-08-21,UClK8Y5AOaRrsc-Hh0bY024w,TKG ball,13700,4152901,48
2026-08-21,UCJnnOU3J61-6fC2RKWEsAxA,なぽりたんぼーる!!,16500,8541961,284
2026-08-21,UCPgo3vhueVGcmxye8KXomag,パプさん,17200,16390332,337
2026-08-21,UCAUMzXLzsiUdYFG-1DELB3w,ほたて,10900,3736495,235
2026-08-21,UCaMxGSc7gfuS8YRuSzr_nuQ,ぽぱい,12400,4253419,33
2026-08-21,UCqJGrZl5WavKUk1sz1R34cQ,ほわさん,14300,3812636,88
2026-08-21,UCzRXkYhS5YbXshAHUm8kUyg,マスカットボール,16100,4575582,45
2026-08-21,UCkSwKF9fslUtFRiaA-Oto6Q,まるぼーるch ,13000,18789576,121
2026-08-21,UC0Qa8bCyRfJSBVp2LdEk1Ag,マロー,13500,3221303,48
2026-08-21,UCP8Ycdrev3FBUVFH-PMxQNQ,MIKUボール,14100,3382850,209
2026-08-21,UCYhJeY5hQxjCB5onai17ExA,ミルー帝国-はんぺん[PB],17300,8661861,250
2026-08-21,UCDlKmulWHerASMS8t2rIrYg,ユウセイボール,16800,6255662,76
2026-08-21,UCwRXtk8XSKXepmobDPuhoLQ,ユラミア連邦共和国,11900,9091130,93
2026-08-21,UCnzJL5YTjaPHTkkll5BHukQ,レメラボール / 🌈🌙【えるめす】,11000,5867695,179
2026-08-21,UCXn5jlX_q9OtdFqDgC7fj8Q,練乳=ソビエト共和国ぼーる,10600,1720051,92
2026-08-21,UCVLAvD5h6wz97dxzwy28Q6g,わーるどボール【ポーランドボール】,11400,2190252,99
2026-08-21,UCZiElwYajEL91UWMkBpSU-w,ĜÇ_Z3RØくん,10100,6388103,167
2026-08-21,UC3N1ZsVd8KkOmSryri0AesA,lemon_Ball,10700,984827,117
2026-08-21,UCw4mBghvckZ6kRp1KF3PP2g,渋谷区のペンギン,15000,3388144,53
2026-08-21,UCkUsTywsJ86m7U4wbknNXQQ,ひかるボール　Hikaru ball,11800,1553086,157
2026-08-21,UCLflWIARKMxRiQDu7OIGGyg,やよいどき,13000,1292620,21
2026-08-21,UC96ekumgW3ymYIz1T_3ZmVw,Kou kou部屋,15300,3086747,123
2026-08-21,UCksVp34yDXswzafRM_HfO0w,にっぱら(元PBer),12000,7230873,701
2026-08-21,UCSzLt1x0-MwXF35nP23nsVA,にゃほんボール🇯🇵,12300,4132313,114
2026-08-21,UCvf-UiLQzKEGKYoMvwCGYbA,一時ログアウト中,14400,,
2026-08-21,UC2fMWFGgy-ENfkqlK0CUwrg,にこちPB,3350,80638,7
2026-08-21,UCeV4DkPl_rjFqZB6KrgIpmQ,かめ・さーくボール共和国,9570,2003360,82
2026-08-21,UCUwsogiV3npfOKMReFmY6wg,空白ボール,9580,4559438,65
2026-08-21,UCtPArTiYwO9r7BeXVZdZjGQ,玄米ボール🍚,9940,5514641,121
2026-08-21,UCeImiuiv09c_mQzrJziJPAA,ふかひれ牧場,9170,1266374,24
2026-08-21,UCOh65Kskqz7uscFL7p1UexQ,ライヒスボール【Reichsball】,9640,4404872,49
2026-08-21,UCJ1LhZfBOpZy8NzLDYPOopA,mikan帝国ぼーる,9380,1568731,33
2026-08-21,UCZPDR-vhP3KaujXH5DUJMxA,ココプー,8920,6093493,372
2026-08-21,UCpYfKq3qR3POstp21yzKyVQ,ほすとぼーる,8180,1590406,23
2026-08-21,UCPpw3ZMnEraWpMPSrwCzOog,アメリカボール　【PBer合衆国盟主】,9170,1117993,86
2026-08-21,UCmzj8pO1YtKLmcmaMPf9wbQ,なるほど地理,142000,322393015,1082
2026-08-21,UCnZNY63Txhu4ot3l2lbicOA,ばかわたし,8090,4545341,92
2026-08-23 00:00,UCkjdTrE4hiJ4qNOV7NPGSSw,Æž!フヒフム,385000,380007762,884
2026-08-23 00:00,UC6BwO1hK3hHd-Hr43jokcyg,田中MID,287000,208401614,262
2026-08-23 00:00,UCRCQ3G1d0DM2krO-Fx5LOuQ,Æž!みかんぼーる🍊,311000,390113268,423
2026-08-23 00:00,UCScWUYsYXgrDN8AVIRJLtLw,こうちゃ(ポーランドボール),55200,29170975,122
2026-08-23 00:00,UCShRcYFlXgjOfeAvsP_5taQ,狼狐 Roko(ポーランドボール),53000,8334079,600
2026-08-23 00:00,UC_qD8VahU0Fr3q1SKg6kYtg,さとボール,54700,27569216,952
2026-08-23 00:00,UCnaMFejTyu396-R4GYhXD_Q,エッバの歴史解説ちゃんねる,44100,10235755,76
2026-08-23 00:00,UC8BA486HqgHSLO82YlPNFfw,はなひに,41800,16773488,115
2026-08-23 00:00,UCxKNMaOOdi32HNUFTOCw-8w,Neille / ナユ,37800,69846466,188
2026-08-23 00:00,UCvYaUyxK_wqez1bJYyFslRg,ボウコムボール,30500,10602048,114
2026-08-23 00:00,UC9SB9xRrmdZ9Jt0aXkWuCOg,BALL420,32500,33550898,567
2026-08-23 00:00,UCajUGvWXtYUcTHD3E3y138w,かにたる,30900,10943887,84
2026-08-23 00:00,UCxtGe9mRTjabQjwvmhqc5nw,引退募集,33200,6457595,44
2026-08-23 00:00,UCH3w-77t9kRWVNqKwQPIq_A,リアイオ·C·K (Riaio),32800,8411019,82
2026-08-23 00:00,UCFUXbdaOpvcbuC0zQMjS1Rw,Schokoladen Ball,28200,19858800,118
2026-08-23 00:00,UCD9mEEJypdqQZeSeTotItbg,カルノ  ムックル教,22200,7045497,37
2026-08-23 00:00,UCHJrlfd5kaoF7hx_KjfwZxQ,ｺﾏ,21100,9935881,22
2026-08-23 00:00,UCZJGdkej48qsbPf7ZBBJlKQ,こゆまる_koyumaru908,21600,9423731,186
2026-08-23 00:00,UCy46bv4oPol4XOzKIbiw1LQ,すいかぼーる,24100,14981700,180
2026-08-23 00:00,UCVxwV9hTI2DVS0exkZ-Mqww,作,27400,9533342,137
2026-08-23 00:00,UCl4efTdPPsQWpj6jXmE9Azg, ゼリョーヌィボール　活停中,20500,5778856,88
2026-08-23 00:00,UCYNJQu0hhJFT36rCVfFpRXA,日帝ボール,23800,13513252,26
2026-08-23 00:00,UC0kY7Nwjt8qkErtdxl3iuIw,日本ボール,27700,7729736,85
2026-08-23 00:00,UC5wPmYUt7bVpzfhnehpTdaw,ぱふball,22200,6749656,103
2026-08-23 00:00,UCnZ3-DYNoF3sdpWIj2Tr59Q,マルルさん,21600,26698898,78
2026-08-23 00:00,UC-fbc__tWFtZSnyBSvTP7vg,Yukkuri ball,29300,13049097,123
2026-08-23 00:00,UCGo_IzKD2-TooYrTGFt2fDA,ゆずボール🎣,35900,16982055,194
2026-08-23 00:00,UCfe4nCMqfTwoiMmIGqAolcQ,りょうデス,24000,15240665,893
2026-08-23 00:00,UCxt74h6chRpTlHWKqG2KHOg,ねこボール,20500,3164577,64
2026-08-23 00:00,UCzHHAy2xN6Vy0wwZPbUZkSA,マイクラ共和国ボール(tama2224),26700,10238996,144
2026-08-23 00:00,UCkAgeT1zuPieZCmlCl47htA,緑玉　,25900,20228,
2026-08-23 00:00,UCSmj0fs41NTFbDZYyEZsoQw,すこるある,20000,,
2026-08-23 00:00,UCJgwnMYDdnyskJ7zsSXuVfw,スターボール,25500,12493313,147
2026-08-23 00:00,UCVYMXYU6j0M5Gj1xwywKDyg,レイアルファ,3720,3003353,86
2026-08-23 00:00,UCmWcMMH94uzxqJpB_vrxRKQ,アオアオカントリー,17000,2214574,18
2026-08-23 00:00,UCSdgLDAnBGMBNkJvTztGUbQ,Acgelent,12300,7761011,66
